Left_Stance_Time_Mean;Left_Swing_Time_Mean;Left_Step_Length_Mean;Left_Steps_Per_Minute_Mean;Left_Stride_Length_Mean;Left_Strides_Per_Minute_Mean;Right_Stance_Time_Mean;Right_Swing_Time_Mean;Right_Step_Length_Mean;Right_Steps_Per_Minute_Mean;Right_Stride_Length_Mean;Right_Strides_Per_Minute_Mean;Speed;Stride_Length_Mean;Stride_Width_Mean;Cycle_Time_Mean;Double_Limb_Support_Time_Ave;Right_Initial_Double_Limb_Support_Time_Mean;Right_Terminal_Double_Limb_Support_Time_Mean;
0.62;0.43;0.63;109.76;1.28;56.78;0.65;0.40;0.65;117.65;1.28;56.96;1.21;1.28;0.08;1.06;0.22;0.11;0.10;
0.61;0.41;0.61;117.65;1.26;58.44;0.63;0.41;0.65;115.38;1.27;58.06;1.23;1.26;0.07;1.03;0.21;0.10;0.11;
0.61;0.45;0.62;113.43;1.24;56.60;0.61;0.40;0.63;118.42;1.26;59.21;1.21;1.25;0.08;1.04;0.19;0.10;0.10;
0.61;0.39;0.61;122.45;1.27;60.20;0.61;0.39;0.66;118.42;1.29;60.40;1.28;1.28;0.09;1.00;0.22;0.10;0.11;
0.63;0.39;0.63;119.21;1.28;58.82;0.63;0.40;0.66;115.38;1.30;58.44;1.26;1.29;0.09;1.02;0.23;0.11;0.12;
0.62;0.40;0.63;116.96;1.27;58.82;0.63;0.41;0.65;115.38;1.31;57.32;1.25;1.29;0.09;1.03;0.22;0.11;0.11;
0.61;0.41;0.65;115.40;1.30;59.21;0.63;0.39;0.67;120.00;1.35;58.44;1.30;1.32;0.10;1.02;0.21;0.10;0.11;
0.61;0.40;0.65;117.69;1.31;59.60;0.63;0.40;0.68;118.42;1.34;58.44;1.31;1.33;0.09;1.02;0.22;0.11;0.11;
0.61;0.41;0.64;117.65;1.33;58.82;0.61;0.40;0.69;118.42;1.34;59.21;1.31;1.33;0.08;1.02;0.20;0.09;0.11;
0.62;0.43;0.64;112.50;1.29;57.32;0.63;0.41;0.65;116.88;1.30;57.32;1.24;1.29;0.08;1.05;0.20;0.11;0.10;
0.61;0.41;0.64;118.44;1.30;58.82;0.61;0.40;0.67;118.42;1.31;59.60;1.29;1.30;0.10;1.01;0.19;0.09;0.10;
0.61;0.43;0.65;114.77;1.31;57.69;0.61;0.39;0.66;120.00;1.31;59.60;1.28;1.31;0.10;1.02;0.20;0.11;0.10;
0.60;0.41;0.67;116.88;1.34;59.21;0.61;0.40;0.68;120.00;1.35;59.21;1.33;1.35;0.09;1.01;0.20;0.10;0.09;
0.60;0.42;0.65;120.85;1.34;58.82;0.58;0.42;0.70;116.88;1.35;60.00;1.33;1.34;0.08;1.01;0.18;0.09;0.09;
0.61;0.42;0.64;116.13;1.29;58.44;0.61;0.41;0.66;118.42;1.31;58.82;1.27;1.30;0.09;1.02;0.20;0.10;0.10;
0.61;0.41;0.67;116.13;1.33;58.82;0.61;0.40;0.67;120.00;1.34;59.21;1.32;1.34;0.08;1.02;0.20;0.10;0.09;
0.61;0.43;0.65;116.90;1.33;57.69;0.61;0.41;0.69;115.38;1.34;58.44;1.29;1.33;0.08;1.03;0.20;0.10;0.10;
0.61;0.42;0.65;116.17;1.31;58.06;0.61;0.41;0.67;118.42;1.33;59.21;1.29;1.32;0.07;1.02;0.20;0.11;0.09;
0.61;0.43;0.65;112.50;1.32;57.69;0.63;0.41;0.67;118.42;1.34;57.69;1.28;1.33;0.10;1.04;0.20;0.11;0.09;
0.61;0.42;0.65;113.21;1.32;58.06;0.63;0.41;0.66;118.42;1.31;57.69;1.27;1.31;0.07;1.04;0.19;0.10;0.10;
